arrondissement,area_m2,area_km2
75001,5365.0559248395675,0.005365055924839567
75002,4174.222562060932,0.0041742225620609325
75003,25135.5170898573,0.025135517089857302
75004,51920.8868155282,0.05192088681552821
75005,66199.20078073701,0.06619920078073702
75006,30148.750247476015,0.030148750247476014
75007,48076.81565834467,0.04807681565834467
75008,146733.92156521286,0.14673392156521287
75009,17508.269892972556,0.017508269892972557
75010,58730.63122352733,0.05873063122352733
75011,81961.20127460023,0.08196120127460023
75012,1004807.5232236775,1.0048075232236775
75013,287801.9603071494,0.2878019603071494
75014,157236.5143500677,0.15723651435006772
75015,391831.14274020965,0.39183114274020964
75016,770474.5041372691,0.7704745041372691
75017,400146.77141635516,0.4001467714163552
75018,452718.5937378793,0.4527185937378793
75019,366121.0573682839,0.36612105736828393
75020,845871.8919383031,0.8458718919383031
